Model	Score	Language	Metric
ada	0.316	ca	F1
babbage	0.327	ca	F1
curie	0.36	ca	F1
davinci	0.342	ca	F1
ada	0.183	de	F1
babbage	0.198	de	F1
curie	0.221	de	F1
davinci	0.226	de	F1
ada	0.265	en	F1
babbage	0.276	en	F1
curie	0.289	en	F1
davinci	0.258	en	F1
ada	0.209	es	F1
babbage	0.224	es	F1
curie	0.24	es	F1
davinci	0.235	es	F1
ada	0.205	tu	F1
babbage	0.238	tu	F1
curie	0.265	tu	F1
davinci	0.258	tu	F1
ada	0.317	ca	Precision
babbage	0.314	ca	Precision
curie	0.411	ca	Precision
davinci	0.385	ca	Precision
ada	0.206	de	Precision
babbage	0.233	de	Precision
curie	0.266	de	Precision
davinci	0.244	de	Precision
ada	0.401	en	Precision
babbage	0.392	en	Precision
curie	0.424	en	Precision
davinci	0.396	en	Precision
ada	0.197	es	Precision
babbage	0.207	es	Precision
curie	0.236	es	Precision
davinci	0.211	es	Precision
ada	0.231	tu	Precision
babbage	0.241	tu	Precision
curie	0.31	tu	Precision
davinci	0.326	tu	Precision
ada	0.407	ca	Recall
babbage	0.427	ca	Recall
curie	0.39	ca	Recall
davinci	0.393	ca	Recall
ada	0.205	de	Recall
babbage	0.211	de	Recall
curie	0.235	de	Recall
davinci	0.258	de	Recall
ada	0.24	en	Recall
babbage	0.25	en	Recall
curie	0.268	en	Recall
davinci	0.244	en	Recall
ada	0.304	es	Recall
babbage	0.332	es	Recall
curie	0.317	es	Recall
davinci	0.35	es	Recall
ada	0.244	tu	Recall
babbage	0.286	tu	Recall
curie	0.285	tu	Recall
davinci	0.257	tu	Recall
